,assists,deaths,duration,game_mode,hero_id,kills,leaver_status,lobby_type,match_id,party_size,player_slot,radiant_win,skill,start_time,version
0,23.0,6.0,3298.0,22.0,7.0,4.0,0.0,7.0,4024039976.0,,4.0,1.0,,1532534853.0,
1,22.0,16.0,2570.0,22.0,36.0,9.0,0.0,7.0,4023956699.0,,3.0,0.0,1,1532531690.0,
2,12.0,14.0,1785.0,22.0,88.0,2.0,0.0,7.0,4023890865.0,,128.0,1.0,1,1532529439.0,
3,7.0,0.0,1054.0,22.0,45.0,5.0,0.0,7.0,4023841395.0,,2.0,1.0,1,1532527832.0,
4,0.0,8.0,1291.0,22.0,45.0,8.0,0.0,7.0,4023787679.0,,1.0,0.0,1,1532526060.0,
5,19.0,10.0,3543.0,22.0,2.0,11.0,0.0,7.0,4023527835.0,,1.0,1.0,,1532516560.0,
6,5.0,8.0,2137.0,22.0,50.0,4.0,0.0,7.0,4023439163.0,,130.0,1.0,1,1532512515.0,
7,16.0,11.0,2154.0,22.0,26.0,2.0,0.0,7.0,4023387399.0,,4.0,0.0,,1532510029.0,
8,21.0,5.0,2458.0,22.0,51.0,4.0,0.0,7.0,4023329661.0,,0.0,1.0,1,1532507167.0,
9,12.0,7.0,2495.0,22.0,70.0,7.0,0.0,7.0,4022817407.0,,132.0,1.0,1,1532470141.0,
10,17.0,12.0,3480.0,22.0,18.0,14.0,0.0,7.0,4022010485.0,,0.0,0.0,,1532433606.0,
11,16.0,0.0,1915.0,22.0,67.0,10.0,0.0,7.0,4021951771.0,,131.0,0.0,1,1532431297.0,
12,28.0,11.0,3314.0,22.0,67.0,14.0,0.0,7.0,4021865650.0,,1.0,0.0,,1532427511.0,
13,4.0,11.0,1781.0,22.0,45.0,3.0,1.0,7.0,4021214897.0,1,129.0,1.0,1,1532383472.0,21
14,15.0,14.0,2774.0,22.0,20.0,3.0,0.0,7.0,4020503029.0,2,3.0,0.0,,1532350988.0,21
15,16.0,13.0,3243.0,22.0,20.0,2.0,0.0,7.0,4019861843.0,,4.0,0.0,,1532319013.0,
16,22.0,7.0,2186.0,22.0,20.0,5.0,0.0,7.0,4019826077.0,,3.0,1.0,1,1532316324.0,21
17,21.0,12.0,3139.0,22.0,50.0,7.0,0.0,7.0,4019770401.0,,131.0,0.0,1,1532312064.0,
18,11.0,6.0,1976.0,22.0,14.0,12.0,0.0,7.0,4019668115.0,,129.0,0.0,1,1532303102.0,
19,13.0,7.0,1640.0,22.0,37.0,2.0,0.0,7.0,4019644952.0,,128.0,1.0,1,1532301016.0,
20,1.0,5.0,1165.0,22.0,112.0,2.0,0.0,7.0,4019626048.0,,129.0,1.0,1,1532299395.0,
21,4.0,10.0,1306.0,22.0,26.0,2.0,0.0,7.0,4019602919.0,,2.0,0.0,1,1532297564.0,
22,29.0,10.0,2203.0,22.0,87.0,2.0,0.0,7.0,4019565780.0,,2.0,1.0,1,1532294906.0,
23,17.0,11.0,2685.0,22.0,51.0,7.0,0.0,7.0,4019513718.0,1,0.0,1.0,1,1532291686.0,21
24,20.0,5.0,2146.0,22.0,35.0,3.0,0.0,7.0,4019468199.0,,3.0,1.0,1,1532289121.0,
25,13.0,10.0,2369.0,22.0,16.0,4.0,0.0,7.0,4018555953.0,,132.0,1.0,,1532253730.0,
26,3.0,6.0,1616.0,22.0,63.0,5.0,0.0,7.0,4018502076.0,,128.0,1.0,1,1532251663.0,
27,30.0,7.0,2433.0,22.0,9.0,8.0,0.0,7.0,4016579380.0,,3.0,1.0,,1532163632.0,
28,27.0,11.0,2819.0,22.0,51.0,6.0,0.0,7.0,4016502765.0,,2.0,1.0,,1532160480.0,
29,19.0,8.0,2677.0,22.0,67.0,15.0,0.0,7.0,4016427406.0,,130.0,1.0,1,1532157252.0,
30,15.0,9.0,3551.0,22.0,44.0,11.0,0.0,7.0,4015582318.0,,0.0,1.0,,1532105884.0,
31,16.0,8.0,2938.0,22.0,18.0,16.0,0.0,7.0,4014869119.0,,129.0,0.0,,1532078809.0,
32,15.0,6.0,2179.0,22.0,16.0,1.0,0.0,7.0,4014811510.0,,132.0,1.0,,1532076013.0,
33,10.0,8.0,1872.0,22.0,67.0,4.0,0.0,7.0,4014764551.0,,130.0,1.0,1,1532073645.0,
34,30.0,17.0,3402.0,22.0,47.0,13.0,0.0,7.0,4013598311.0,,2.0,1.0,,1532006320.0,
35,24.0,11.0,2441.0,22.0,85.0,5.0,0.0,7.0,4012328923.0,,0.0,0.0,,1531931432.0,
36,18.0,14.0,2235.0,22.0,71.0,4.0,0.0,7.0,4012267471.0,,130.0,1.0,,1531928892.0,
37,38.0,4.0,1893.0,22.0,71.0,6.0,0.0,7.0,4012160823.0,,131.0,0.0,,1531924953.0,21
38,35.0,14.0,3058.0,22.0,71.0,9.0,0.0,7.0,4012047320.0,,131.0,1.0,,1531921120.0,
39,14.0,5.0,2210.0,22.0,11.0,10.0,0.0,7.0,4006154797.0,,0.0,1.0,1,1531615607.0,
40,24.0,9.0,3008.0,22.0,67.0,15.0,0.0,7.0,4006113215.0,1,2.0,0.0,1,1531612094.0,21
41,17.0,10.0,2615.0,22.0,18.0,4.0,0.0,7.0,4006073913.0,,130.0,1.0,1,1531608915.0,
42,15.0,3.0,1716.0,22.0,8.0,5.0,0.0,7.0,4006044011.0,,4.0,1.0,1,1531606695.0,
43,26.0,12.0,3553.0,22.0,53.0,12.0,0.0,7.0,4004254269.0,1,130.0,1.0,,1531524410.0,21
