,match_id,year,month,day,hour,side,start_time,radiant_win,Results,player_slot,duration,duration,hero_id,hero_id,localized_name,primary_attr,attack_type,primary_attr,carry,jungler,pusher,nuker,disabler,initiator,durable,support,legs,kills,kills,deaths,deaths,assists,assists
0,4025103415.0,2018,7,26,13,Dire,1532600909.0,1.0,0,130.0,2728.0,2728,8.0,8,Juggernaut,agi,Melee,agi,1,0,1,0,0,0,0,0,2,10.0,10,11.0,11,9.0,9
1,4024759000.0,2018,7,26,8,Dire,1532582935.0,1.0,0,132.0,1916.0,1916,37.0,37,Warlock,int,Ranged,int,0,0,0,0,1,1,0,1,2,2.0,2,7.0,7,7.0,7
2,4024697377.0,2018,7,26,7,Dire,1532578844.0,0.0,1,131.0,3610.0,3610,107.0,107,Earth Spirit,str,Melee,str,0,0,0,1,1,1,1,0,2,4.0,4,20.0,20,28.0,28
3,4024654448.0,2018,7,26,6,Radiant,1532575818.0,1.0,1,4.0,2386.0,2386,27.0,27,Shadow Shaman,int,Ranged,int,0,0,1,1,1,1,0,1,2,7.0,7,6.0,6,18.0,18
4,4023532365.0,2018,7,25,14,Dire,1532516762.0,1.0,0,129.0,2359.0,2359,9.0,9,Mirana,agi,Ranged,agi,1,0,0,1,1,0,0,1,2,9.0,9,6.0,6,15.0,15
5,4023017790.0,2018,7,25,5,Dire,1532487486.0,1.0,0,131.0,3256.0,3256,3.0,3,Bane,int,Ranged,int,0,0,0,1,1,0,1,1,4,4.0,4,11.0,11,22.0,22
6,4021568957.0,2018,7,24,8,Dire,1532411970.0,0.0,1,132.0,2338.0,2338,8.0,8,Juggernaut,agi,Melee,agi,1,0,1,0,0,0,0,0,2,6.0,6,7.0,7,9.0,9
7,4021521232.0,2018,7,24,8,Radiant,1532408812.0,1.0,1,1.0,1713.0,1713,63.0,63,Weaver,agi,Ranged,agi,1,0,0,0,0,0,0,0,4,8.0,8,0.0,0,9.0,9
8,4021476880.0,2018,7,24,7,Radiant,1532405681.0,0.0,0,4.0,2388.0,2388,8.0,8,Juggernaut,agi,Melee,agi,1,0,1,0,0,0,0,0,2,9.0,9,9.0,9,15.0,15
9,4021442528.0,2018,7,24,6,Dire,1532403113.0,0.0,1,129.0,2088.0,2088,63.0,63,Weaver,agi,Ranged,agi,1,0,0,0,0,0,0,0,4,13.0,13,4.0,4,14.0,14
10,4021410866.0,2018,7,24,5,Radiant,1532400694.0,0.0,0,2.0,1903.0,1903,36.0,36,Necrophos,int,Ranged,int,1,0,0,1,1,0,1,0,2,4.0,4,10.0,10,6.0,6
11,4020682029.0,2018,7,23,17,Radiant,1532357058.0,0.0,0,0.0,2672.0,2672,79.0,79,Shadow Demon,int,Ranged,int,0,0,0,1,1,1,0,1,2,5.0,5,13.0,13,15.0,15
12,4020503029.0,2018,7,23,16,Radiant,1532350988.0,0.0,0,4.0,2774.0,2774,6.0,6,Drow Ranger,agi,Ranged,agi,1,0,1,0,1,0,0,0,2,14.0,14,9.0,9,10.0,10
13,4020424950.0,2018,7,23,15,Radiant,1532348214.0,1.0,1,2.0,1519.0,1519,75.0,75,Silencer,int,Ranged,int,1,0,0,1,1,1,0,1,2,3.0,3,2.0,2,11.0,11
14,4020195659.0,2018,7,23,12,Dire,1532338302.0,1.0,0,131.0,2347.0,2347,51.0,51,Clockwerk,str,Melee,str,0,0,0,1,1,1,1,0,2,9.0,9,9.0,9,12.0,12
15,4020129833.0,2018,7,23,11,Radiant,1532335094.0,1.0,1,2.0,1886.0,1886,20.0,20,Vengeful Spirit,agi,Ranged,agi,0,0,0,1,1,1,0,1,2,1.0,1,6.0,6,22.0,22
16,4019968015.0,2018,7,23,9,Dire,1532326192.0,0.0,1,131.0,2189.0,2189,97.0,97,Magnus,str,Melee,str,0,0,0,1,1,1,0,0,4,9.0,9,2.0,2,16.0,16
17,4019861843.0,2018,7,23,7,Radiant,1532319013.0,0.0,0,3.0,3243.0,3243,119.0,119,Dark Willow,int,Ranged,int,0,0,0,1,1,0,0,1,2,1.0,1,12.0,12,7.0,7
18,4019826077.0,2018,7,23,6,Radiant,1532316324.0,1.0,1,2.0,2186.0,2186,8.0,8,Juggernaut,agi,Melee,agi,1,0,1,0,0,0,0,0,2,11.0,11,5.0,5,13.0,13
19,4013890824.0,2018,7,19,19,Dire,1532016795.0,1.0,0,131.0,1731.0,1731,54.0,54,Lifestealer,str,Melee,str,1,1,0,0,1,0,1,0,2,3.0,3,6.0,6,6.0,6
20,4013784127.0,2018,7,19,18,Radiant,1532012673.0,0.0,0,0.0,3550.0,3550,119.0,119,Dark Willow,int,Ranged,int,0,0,0,1,1,0,0,1,2,7.0,7,10.0,10,21.0,21
21,4012328923.0,2018,7,18,19,Radiant,1531931432.0,0.0,0,1.0,2441.0,2441,21.0,21,Windranger,int,Ranged,int,1,0,0,1,1,0,0,1,2,12.0,12,12.0,12,12.0,12
22,4012267471.0,2018,7,18,18,Dire,1531928892.0,1.0,0,131.0,2235.0,2235,21.0,21,Windranger,int,Ranged,int,1,0,0,1,1,0,0,1,2,10.0,10,5.0,5,8.0,8
23,4012160823.0,2018,7,18,17,Dire,1531924953.0,0.0,1,132.0,1893.0,1893,21.0,21,Windranger,int,Ranged,int,1,0,0,1,1,0,0,1,2,17.0,17,5.0,5,10.0,10
24,4012047320.0,2018,7,18,16,Dire,1531921120.0,1.0,0,132.0,3058.0,3058,54.0,54,Lifestealer,str,Melee,str,1,1,0,0,1,0,1,0,2,12.0,12,4.0,4,21.0,21
25,4008571798.0,2018,7,16,14,Dire,1531738935.0,0.0,1,129.0,2456.0,2456,5.0,5,Crystal Maiden,int,Ranged,int,0,1,0,1,1,0,0,1,2,6.0,6,6.0,6,19.0,19
26,4008478973.0,2018,7,16,12,Radiant,1531734685.0,1.0,1,1.0,3588.0,3588,119.0,119,Dark Willow,int,Ranged,int,0,0,0,1,1,0,0,1,2,12.0,12,10.0,10,23.0,23
27,4006719503.0,2018,7,15,11,Radiant,1531643263.0,0.0,0,2.0,4141.0,4141,2.0,2,Axe,str,Melee,str,0,1,0,0,1,1,1,0,2,12.0,12,14.0,14,18.0,18
28,4006633787.0,2018,7,15,10,Radiant,1531640032.0,1.0,1,1.0,2770.0,2770,2.0,2,Axe,str,Melee,str,0,1,0,0,1,1,1,0,2,13.0,13,5.0,5,13.0,13
29,4006560804.0,2018,7,15,9,Dire,1531637092.0,1.0,0,132.0,2484.0,2484,2.0,2,Axe,str,Melee,str,0,1,0,0,1,1,1,0,2,8.0,8,10.0,10,9.0,9
30,4006520111.0,2018,7,15,9,Dire,1531635341.0,1.0,0,130.0,1295.0,1295,2.0,2,Axe,str,Melee,str,0,1,0,0,1,1,1,0,2,0.0,0,9.0,9,1.0,1
31,4006236772.0,2018,7,15,5,Radiant,1531621449.0,0.0,0,3.0,2183.0,2183,68.0,68,Ancient Apparition,int,Ranged,int,0,0,0,1,1,0,0,1,2,2.0,2,9.0,9,12.0,12
32,4005172601.0,2018,7,14,15,Radiant,1531570716.0,0.0,0,3.0,3763.0,3763,101.0,101,Skywrath Mage,int,Ranged,int,0,0,0,1,1,0,0,1,2,6.0,6,13.0,13,21.0,21
33,4005080405.0,2018,7,14,14,Dire,1531567410.0,0.0,1,129.0,2672.0,2672,119.0,119,Dark Willow,int,Ranged,int,0,0,0,1,1,0,0,1,2,9.0,9,8.0,8,17.0,17
34,4005003298.0,2018,7,14,13,Radiant,1531564397.0,0.0,0,3.0,2511.0,2511,119.0,119,Dark Willow,int,Ranged,int,0,0,0,1,1,0,0,1,2,7.0,7,12.0,12,21.0,21
35,4004942843.0,2018,7,14,12,Radiant,1531561925.0,1.0,1,1.0,1912.0,1912,119.0,119,Dark Willow,int,Ranged,int,0,0,0,1,1,0,0,1,2,5.0,5,12.0,12,18.0,18
36,4003671916.0,2018,7,13,18,Radiant,1531494397.0,1.0,1,0.0,2227.0,2227,2.0,2,Axe,str,Melee,str,0,1,0,0,1,1,1,0,2,19.0,19,5.0,5,8.0,8
37,4003576467.0,2018,7,13,17,Dire,1531491252.0,0.0,1,131.0,2432.0,2432,8.0,8,Juggernaut,agi,Melee,agi,1,0,1,0,0,0,0,0,2,10.0,10,3.0,3,15.0,15
38,4003495158.0,2018,7,13,16,Dire,1531488594.0,1.0,0,128.0,2079.0,2079,64.0,64,Jakiro,int,Ranged,int,0,0,1,1,1,0,0,1,2,5.0,5,15.0,15,10.0,10
39,4003415855.0,2018,7,13,15,Dire,1531485928.0,1.0,0,130.0,2101.0,2101,101.0,101,Skywrath Mage,int,Ranged,int,0,0,0,1,1,0,0,1,2,8.0,8,12.0,12,13.0,13
40,4003359897.0,2018,7,13,15,Radiant,1531483915.0,1.0,1,3.0,1460.0,1460,16.0,16,Sand King,str,Melee,str,0,1,0,1,1,1,0,0,6,2.0,2,4.0,4,7.0,7
41,3997168756.0,2018,7,9,18,Radiant,1531148419.0,1.0,1,2.0,2859.0,2859,101.0,101,Skywrath Mage,int,Ranged,int,0,0,0,1,1,0,0,1,2,1.0,1,12.0,12,15.0,15
42,3997087497.0,2018,7,9,17,Dire,1531145670.0,1.0,0,129.0,2179.0,2179,87.0,87,Disruptor,int,Ranged,int,0,0,0,1,1,1,0,1,2,1.0,1,15.0,15,9.0,9
43,3995403901.0,2018,7,8,17,Radiant,1531058681.0,1.0,1,0.0,2349.0,2349,68.0,68,Ancient Apparition,int,Ranged,int,0,0,0,1,1,0,0,1,2,6.0,6,11.0,11,28.0,28
44,3995313145.0,2018,7,8,16,Dire,1531055791.0,1.0,0,129.0,2288.0,2288,90.0,90,Keeper of the Light,int,Ranged,int,0,1,0,1,1,0,0,1,2,1.0,1,5.0,5,11.0,11
45,3995225029.0,2018,7,8,15,Dire,1531052974.0,1.0,0,130.0,2438.0,2438,60.0,60,Night Stalker,str,Melee,str,1,0,0,1,1,1,1,0,2,4.0,4,9.0,9,12.0,12
46,3995035304.0,2018,7,8,13,Radiant,1531046319.0,1.0,1,2.0,3683.0,3683,105.0,105,Techies,int,Ranged,int,0,0,0,1,1,0,0,0,6,8.0,8,12.0,12,12.0,12
