,match_id,year,month,day,hour,side,start_time,radiant_win,Results,player_slot,duration,duration,hero_id,hero_id,localized_name,primary_attr,attack_type,primary_attr,carry,jungler,pusher,nuker,disabler,initiator,durable,support,legs,kills,kills,deaths,deaths,assists,assists
0,4025123786.0,2018,7,26,13,Dire,1532601802.0,0.0,1,132.0,3990.0,3990,94.0,94,Medusa,agi,Ranged,agi,1,0,0,0,1,0,1,0,0,16.0,16,5.0,5,34.0,34
1,4025070691.0,2018,7,26,13,Radiant,1532599422.0,1.0,1,4.0,1881.0,1881,30.0,30,Witch Doctor,int,Ranged,int,0,0,0,1,1,0,0,1,2,9.0,9,7.0,7,20.0,20
2,4024996094.0,2018,7,26,12,Radiant,1532595898.0,1.0,1,2.0,2777.0,2777,2.0,2,Axe,str,Melee,str,0,1,0,0,1,1,1,0,2,11.0,11,8.0,8,18.0,18
3,4024039976.0,2018,7,25,19,Radiant,1532534853.0,1.0,1,4.0,3298.0,3298,7.0,7,Earthshaker,str,Melee,str,0,0,0,1,1,1,0,1,2,4.0,4,6.0,6,23.0,23
4,4023956699.0,2018,7,25,18,Radiant,1532531690.0,0.0,0,3.0,2570.0,2570,36.0,36,Necrophos,int,Ranged,int,1,0,0,1,1,0,1,0,2,9.0,9,16.0,16,22.0,22
5,4023890865.0,2018,7,25,17,Dire,1532529439.0,1.0,0,128.0,1785.0,1785,88.0,88,Nyx Assassin,agi,Melee,agi,0,0,0,1,1,1,0,0,6,2.0,2,14.0,14,12.0,12
6,4023841395.0,2018,7,25,17,Radiant,1532527832.0,1.0,1,2.0,1054.0,1054,45.0,45,Pugna,int,Ranged,int,0,0,1,1,0,0,0,0,2,5.0,5,0.0,0,7.0,7
7,4023787679.0,2018,7,25,16,Radiant,1532526060.0,0.0,0,1.0,1291.0,1291,45.0,45,Pugna,int,Ranged,int,0,0,1,1,0,0,0,0,2,8.0,8,8.0,8,0.0,0
8,4023527835.0,2018,7,25,14,Radiant,1532516560.0,1.0,1,1.0,3543.0,3543,2.0,2,Axe,str,Melee,str,0,1,0,0,1,1,1,0,2,11.0,11,10.0,10,19.0,19
9,4023439163.0,2018,7,25,12,Dire,1532512515.0,1.0,0,130.0,2137.0,2137,50.0,50,Dazzle,int,Ranged,int,0,0,0,1,1,0,0,1,2,4.0,4,8.0,8,5.0,5
