"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"3999201727","229645","5850","10 Jul 2018 10:23","39:39","2379","40-14","40,14","Radiant","New Guys","Kacor, lisek, Exotic_Deer, Patos, Nisha","Wind and Rain","Forev, MiLAN, ritsu, kitrak, bryle"
"3999140651","229645","5850","10 Jul 2018 09:18","35:38","2138","34-11","34,11","Radiant","Wind and Rain","Forev, MiLAN, ritsu, kitrak, bryle","New Guys","Kacor, lisek, Exotic_Deer, Patos, Nisha"
"3999087077","229645","5850","10 Jul 2018 08:26","23:34","1414","22-10","22,10","Radiant","Wind and Rain","Forev, MiLAN, ritsu, kitrak, bryle","New Guys","Kacor, lisek, Exotic_Deer, Patos, Nisha"
"3998952076","229645","5850","10 Jul 2018 06:39","1:20:08","4808","56-49","56,49","Dire","Wind and Rain","Forev, MiLAN, ritsu, kitrak, bryle","New Guys","Kacor, lisek, Exotic_Deer, Patos, Nisha"
"3998878020","229645","5850","10 Jul 2018 05:50","23:12","1392","23-10","23,10","Radiant","New Guys","Kacor, lisek, Exotic_Deer, Patos, Nisha","Wind and Rain","Forev, MiLAN, ritsu, kitrak, bryle"
"3998672773","229621","5850","10 Jul 2018 03:51","59:33","3573","38-43","38,43","Dire","Alliance","iNSaNiA, Boxi, qojqva, miCKe, Amateratsu","New Guys","Kacor, lisek, Exotic_Deer, Patos, Nisha"
"3998482464","229621","5850","10 Jul 2018 02:03","1:22:11","4931","38-36","38,36","Radiant","New Guys","Kacor, lisek, Exotic_Deer, Patos, Nisha","Alliance","iNSaNiA, Boxi, qojqva, miCKe, Amateratsu"
"3997392371","229527","5850","09 Jul 2018 07:38","39:36","2376","27-45","27,45","Dire","Espada","Nίx, Misha, 633, iLTW, Immersion fake","Alliance","iNSaNiA, Boxi, qojqva, miCKe, Amateratsu"
"3997260056","229527","5850","09 Jul 2018 06:00","1:04:36","3876","53-29","53,29","Radiant","Alliance","iNSaNiA, Boxi, qojqva, miCKe, Amateratsu","Espada","Nίx, Misha, 633, iLTW, Immersion fake"
"3997139769","229527","5850","09 Jul 2018 04:46","46:28","2788","43-25","43,25","Radiant","Espada","Nίx, Misha, 633, iLTW, Immersion fake","Alliance","iNSaNiA, Boxi, qojqva, miCKe, Amateratsu"
"3996994359","229509","5850","09 Jul 2018 03:21","34:52","2092","36-18","36,18","Radiant","Wind and Rain","Forev, MiLAN, ritsu, kitrak, bryle","New Guys","Kacor, lisek, Exotic_Deer, Patos, Nisha"
"3996855176","229509","5850","09 Jul 2018 02:06","45:46","2746","17-36","17,36","Dire","New Guys","Kacor, lisek, Exotic_Deer, Patos, Nisha","Wind and Rain","Forev, MiLAN, ritsu, kitrak, bryle"
"3995710363","229381","5850","08 Jul 2018 07:15","30:54","1854","25-17","25,17","Radiant","Wind and Rain","Forev, MiLAN, ritsu, kitrak, bryle","Espada","Nίx, Misha, 633, iLTW, Immersion fake"
"3995620207","229381","5850","08 Jul 2018 06:12","36:02","2162","40-21","40,21","Radiant","Espada","Nίx, Misha, 633, iLTW, Immersion fake","Wind and Rain","Forev, MiLAN, ritsu, kitrak, bryle"
"3995509337","229381","5850","08 Jul 2018 05:05","40:19","2419","41-25","41,25","Radiant","Wind and Rain","Forev, MiLAN, ritsu, kitrak, bryle","Espada","Nίx, Misha, 633, iLTW, Immersion fake"
"3995327439","229353","5850","08 Jul 2018 03:24","37:19","2239","34-18","34,18","Radiant","New Guys","Kacor, lisek, Exotic_Deer, Patos, Nisha","Alliance","iNSaNiA, Boxi, qojqva, miCKe, Amateratsu"
"3995186500","229353","5850","08 Jul 2018 02:09","47:19","2839","36-23","36,23","Radiant","New Guys","Kacor, lisek, Exotic_Deer, Patos, Nisha","Alliance","iNSaNiA, Boxi, qojqva, miCKe, Amateratsu"
"3993995989","229238","5850","07 Jul 2018 09:20","32:31","1951","23-25","23,25","Dire","GangSquad","Buugi, rmN-, AfrOmoush, nine, oliver","Espada","Nίx, Misha, 633, iLTW, Immersion fake"
"3993919863","229238","5850","07 Jul 2018 08:14","37:27","2247","37-30","37,30","Radiant","Espada","Nίx, Misha, 633, iLTW, Immersion fake","GangSquad","Buugi, rmN-, AfrOmoush, nine, oliver"
"3993809789","229202","5850","07 Jul 2018 06:56","50:14","3014","34-37","34,37","Dire","Double Dimension","VANSKOR, chshrct, Cooman, KingR, Pikachu[ϟ]","Alliance","iNSaNiA, Boxi, qojqva, miCKe, Amateratsu"
"3993721704","229202","5850","07 Jul 2018 06:03","28:56","1736","15-37","15,37","Dire","Alliance","iNSaNiA, Boxi, qojqva, miCKe, Amateratsu","Double Dimension","VANSKOR, chshrct, Cooman, KingR, Pikachu[ϟ]"
"3993624777","229202","5850","07 Jul 2018 05:07","32:46","1966","15-30","15,30","Dire","Double Dimension","VANSKOR, chshrct, Cooman, KingR, Pikachu[ϟ]","Alliance","iNSaNiA, Boxi, qojqva, miCKe, Amateratsu"
"3992148233","229063","5850","06 Jul 2018 09:33","44:10","2650","37-18","37,18","Radiant","Espada","Nίx, Misha, 633, iLTW, Immersion fake","The Final Tribe","Handsken, jonassomfan, Era, Pablo, tv/charliedotaa"
"3992052632","229063","5850","06 Jul 2018 08:12","57:57","3477","36-31","36,31","Dire","The Final Tribe","Handsken, jonassomfan, Era, Pablo, tv/charliedotaa","Espada","Nίx, Misha, 633, iLTW, Immersion fake"
